"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"110.10.176.193","9318 | 9318","木马后门 | ","僵尸木马主控端 | 木马 | ","apt | c2 | reputation"
"115.111.244.34","4755 | 4755","","","apt"
"185.225.17.40","39798","","","apt"
"auniversity.myftp.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"cert.pk-gov.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"mail-modp.sytes.net","","","僵尸木马主控端 | ","apt | reputation | c2"
"mail.navy.mil.bd.mailupdatenavybdzimbra.gov-pk.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"mail.paec.gov-pk.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"mail.yahoo.com.ymailserviceauthentication.gov-pk.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"mfamail.foreign.gov.mv.mfamailzimbraupdation.gov-pk.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"mlibinternetbanking.gov-pk.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"modp.myftp.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"nccs.pk-gov.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"nitb.pk-gov.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"ntc-pk.sytes.net","","","僵尸木马主控端 | ","apt | reputation | c2"
"pakcert.gov-pk.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"quwa-paf.servehttp.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"http://110.10.176.193:4443/login/process.php","","","","apt"
"http://auniversity.myftp.org/kynZ_FPH4.hta","","","","apt"
"http://auniversity.myftp.org/Registration_Details.zip?id=P36","","","","apt"
"http://pakcert.gov-pk.org:443/admin/get.php","","","","apt"
"http://pakcert.gov-pk.org:443/login/process.php","","","","apt"
"http://pakcert.gov-pk.org:443/news.php","","","","apt"
"http://pakcert.gov-pk.org/CNS_Guidelines_2019.zip","","","","apt"
"http://pakcert.gov-pk.org/poilkjmnb","","","","apt"
"http://pakcert.gov-pk.org/shipment.rar","","","","apt"
"http://pakcert.gov-pk.org/zaqxswcde.hta","","","","apt"
"3D6AAB4E4E055B9C50837C6ADC97E060","","","","apt"
"6A271282FE97322D49E9692891332AD7","","","","apt"
"791253aded5df197d9db441a6fe2eb4e","","","","apt"
"98cc17985510ee4c259447b7c4a2a684","","","","apt"
"9c9ff19affff6d62e72e618f2b7284da","","","","apt"
"c671362015dab11c0b552d8b4112825a","","","","apt"
"arif9945@baf.mil.bd","","","","apt"
"dgpr.paknavy.gov.pk@email.com","","","","apt"
