"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"111.90.138.81","45839","","","apt"
"188.68.242.18","197226","","","apt"
"200.63.45.47","52284","","","apt"
"91.92.136.134","44901","","","apt"
"data-covery.com","","","","apt"
"devotedtohumanity-fif.info","","","","apt"
"goolg-en.com","","","","apt"
"host-auth.com","","","","apt"
"insidecloud-aspx.com","","","","apt"
"kashmir-weather-info.com","","","","apt"
"login-asmx.com","","","malware | phishing","apt | reputation"
"mint-news-portal.hymnfork.com","","","","apt"
"mxiplayer.com","","","僵尸木马主控端","apt | reputation | c2"
"myinfocheck.com","","","僵尸木马主控端","apt | reputation | c2"
"online-tracking-status.hymnfork.com","","","","apt"
"rnail-aspx.com","","","","apt"
"sa-google.com","","","","apt"
"session-en.com","","","","apt"
"session-owa.com","","","","apt"
"session-service.com","","","","apt"
"singin-go-olge.com","","","","apt"
"squre39-cld.info","","","","apt"
"string2port.com","","","僵尸木马主控端","apt | reputation | c2"
"1518badcb2717e6b0fa9bdd883d5ff61fedddf7ddf22cc3dc04a38f4e137fc96","","","","apt"
"00d000679baab456953b4302d8b2a1e65241ed12","","","","apt"
"6e5e7ecb929fdc29ba93058bf2f501842ac0f2c0","","","","apt"
"9850ac30c3357d3a412d0f6cec2716b63db6c21d","","","","apt"
"ddaf5e43da0b00884ef957c32d7b16ed692a057a","","","",""
"aaron.drago@pobox.sk","","","","apt"
"bbcnewsdailysubscribe@gmail.com","","","","apt"
"dubaicalender.eventupdate@outlook.com","","","","apt"
"jacbov.vjan@bulletmail.org","","","","apt"
"janko.kolar@bulletmail.org","","","","apt"
"mail.noreplyportals@gmail.com","","","","apt"
"marek.franko@pobox.sk","","","","apt"
"mirror.news.live@gmail.com","","","","apt"
"news_update@email.com","","","","apt"
"noreply.applc.id.service@gmail.com","","","","apt"
"noreply.goolgehangouts@gmail.com","","","","apt"
"noreply.goolgemail@gmail.com","","","","apt"
"noreply.subscribeuser.alert@gmail.com","","","","apt"
"noreply.user.subscripton@gmail.com","","","","apt"
"noreply.users.validation@gmail.com","","","","apt"
"oliver.dagur@mail.ru","","","","apt"
"petru.negru@pobox.sk","","","","apt"
"playbooy.magazine.update@outlook.com","","","","apt"
"ralph.cramey@mail.ru","","","","apt"
"rnicrosoft-recovery-update@hotmail.com","","","","apt"
"robert.warne@list.ru","","","","apt"
"sputniknews@email.com","","","","apt"
"viera.taafi@pobox.sk","","","","apt"
