"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"corporatefaxsolutions.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.biz","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.cc","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"informaer.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.net","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"informaer.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.pw","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.ws","","","僵尸木马主控端 | ","apt | reputation | c2"
"informaer.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"onenewpost.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"xeronet.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"guotang323@yahoo.com","","","","apt"
